Club Names,Club name short
1. FC Koln,KOE
1. FC Nurnberg,FCN
1. FC Union Berlin,FCU
1. FSV Mainz 05,M05
AC Milan,MIL
AFC Bournemouth,BOU
Amiens SC,ASC
Angers SCO,SCO
Arsenal,ARS
AS Monaco,ASM
AS Nancy Lorraine,NAN
AS Saint-Etienne,ASS
Aston Villa,AVL
Atalanta,ATA
Athletic Club de Bilbao,ATH
Atletico de Madrid,ATM
Bayer 04 Leverkusen,LEV
Benevento,BEN
Bologna,BOL
Borussia Dortmund,BVB
Borussia Monchengladbach,BMG
Brentford,BRE
Brescia,BRS
Brighton & Hove Albion,BHA
Burnley,BRN
Cadiz CF,CAD
CA Osasuna,OSA
Cagliari,CAG
Cardiff City,CAR
CD Leganes,LGN
Chelsea,CHE
Chievo Verona,CHI
Clermont Foot 63,CLE
Crotone,CRO
Crystal Palace,CRY
Deportivo Alaves,ALA
Deportivo de La Coruna,DEP
Dijon FCO,DIJ
DSC Arminia Bielefeld,DSC
Eintracht Frankfurt,SGE
Elche CF,ELC
Empoli,EMP
En Avant de Guingamp,GUI
ESTAC Troyes,TRO
Everton,EVE
FC Augsburg,FCA
FC Barcelona,BAR
FC Bayern Munchen,BAY
FC Girondins de Bordeaux,GIR
FC Ingolstadt 04,IGT
FC Lorient,FCL
FC Metz,MET
FC Nantes,NAN
FC Schalke 04,S04
Fiorentina,FIO
Fortuna Dusseldorf,DUS
Frosinone,FRO
Fulham,FUL
Genoa,GEN
Getafe CF,GET
Girona FC,GIR
Granada CF,GRA
Hamburger SV,HSV
Hannover 96,H96
Hellas Verona,VER
Hertha BSC,BSC
Huddersfield Town,HUD
Hull City,HUL
Inter,INT
Juventus,JUV
Lazio,LAZ
Lecce,LEC
Leeds United,LEE
Leicester City,LEI
Levante Union Deportiva,LEV
Liverpool,LIP
LOSC Lille,LIL
Malaga CF,MAL
Manchester City,MCI
Manchester United,MUN
Middlesbrough,MID
Montpellier Herault SC,MON
Nimes Olympique,NIM
Napoli,NAP
Newcastle United,NEW
Norwich City,NOR
OGC Nice,NIC
Olympique de Marseille,OM
Olympique Lyonnais,OL
Palermo,PAL
Paris Saint-Germain,PSG
Parma,PAR
Pescara,PES
Racing Club de Lens,RCL
Rayo Vallecano,RAY
RB Leipzig,RBL
RC Celta de Vigo,CEL
RC Strasbourg Alsace,STR
RCD Espanyol de Barcelona,ESP
RCD Mallorca,MLL
Real Betis Balompie,BET
Real Madrid CF,RMA
Real Sociedad,RSO
Real Sporting de Gijon,SPO
Real Valladolid CF,VLD
Roma,ROM
SC Bastia,BST
SC Paderborn 07,PAD
SD Eibar,EIB
SD Huesca,HUE
Sevilla FC,SEV
Sheffield United,SHU
Southampton,SOU
SPAL,SPL
Spezia,SPE
Sport-Club Freiburg,SCF
SpVgg Greuther Furth,SGF
Stade Brestois 29,BRE
Stade de Reims,SR
Stade Malherbe Caen,SMC
Stade Rennais FC,REN
Stoke City,STO
Sunderland,SUN
SV Darmstadt 98,D98
SV Werder Bremen,SVW
Swansea City,SWA
Torino F.C.,TOR
Tottenham Hotspur,TOT
Toulouse Football Club,TFC
TSG Hoffenheim,TSG
U.C. Sampdoria,SAN
U.S. Sassuolo Calcio,SAS
Udinese Calcio,UDI
Union Deportiva Las Palmas,LPM
US Salernitana 1919,SAL
Valencia CF,VAL
Venezia FC,VEN
VfB Stuttgart,VFB
VfL Bochum 1848,BOC
VfL Wolfsburg,FCU
Villarreal CF,VIL
Watford,WAT
West Bromwich Albion,WBA
West Ham United,WHU
Wolverhampton Wanderers,WOL